time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-06T00:08:47.330Z,38.2553,140.7112,101.43,4.3,mb,,130,2.545,0.5,us,us7000frw9,2021-11-13T04:20:04.040Z,"13 km W of Sendai, Japan",earthquake,9.7,7.4,0.109,24,reviewed,us,us
2021-11-06T00:44:53.651Z,28.94805908,-98.3537454,4.915405273,2.7,ml,26,36,0.05725696914,0.2,tx,tx2021vspy,2021-11-08T23:01:03.040Z,"12 km E of Pleasanton, Texas",earthquake,1.08721035,1.52747781,0.2,16,reviewed,tx,tx
2021-11-06T00:56:44.076Z,-7.4778,128.0654,141.09,4.2,mb,,84,4.384,0.51,us,us7000ft71,2021-11-13T05:01:10.040Z,"164 km NE of Lospalos, Timor Leste",earthquake,8.2,11.1,0.176,9,reviewed,us,us
2021-11-06T01:20:32.700Z,19.2363333333333,-155.399833333333,32.32,2.64,ml,53,138,,0.12,hv,hv72784177,2021-11-06T03:44:37.790Z,"9 km ENE of P?hala, Hawaii",earthquake,0.38,0.48,0.18713020696826,27,reviewed,hv,hv
2021-11-06T02:04:16.941Z,-21.5989,-68.6491,140.79,4.2,mb,,86,0.957,0.79,us,us7000frwp,2021-11-06T02:19:46.040Z,"99 km NNE of Calama, Chile",earthquake,7.8,11.6,0.216,7,reviewed,us,us
2021-11-06T02:32:13.067Z,-11.6028,166.6303,140.01,4.3,mb,,159,3.861,0.53,us,us7000ft70,2021-11-12T22:11:28.040Z,"133 km SE of Lata, Solomon Islands",earthquake,13.7,7.7,0.2,9,reviewed,us,us
2021-11-06T03:56:19.491Z,-1.3113,120.6166,10,5.1,mww,,46,2.171,1.03,us,us7000frwy,2021-11-06T04:58:44.990Z,"17 km WNW of Poso, Indonesia",earthquake,5.7,1.9,0.093,11,reviewed,us,us
2021-11-06T04:17:58.450Z,17.9405,-66.83,11,2.66,md,20,204,0.2162,0.1,pr,pr2021310000,2021-11-06T04:33:39.605Z,"6 km S of Indios, Puerto Rico",earthquake,0.47,0.59,0.02,5,reviewed,pr,pr
2021-11-06T05:04:16.613Z,13.5022,-89.9782,59.84,4.3,mb,,189,0.536,0.87,us,us7000frxa,2021-11-09T23:16:39.699Z,"19 km WSW of Acajutla, El Salvador",earthquake,9.7,8.8,0.16,11,reviewed,us,us
2021-11-06T05:08:40.560Z,17.856,-65.6966,4,3.08,md,10,244,0.2809,0.25,pr,pr2021310001,2021-11-06T05:31:11.356Z,"25 km SE of Emajagua, Puerto Rico",earthquake,0.85,0.95,0.13,3,reviewed,pr,pr
2021-11-06T05:30:22.461Z,-6.1268,130.1686,159.1,4.5,mb,,74,3.801,0.74,us,us7000frxq,2021-11-06T05:49:21.040Z,"Banda Sea",earthquake,3.7,8.4,0.098,31,reviewed,us,us
